Class,SLongitude,SLatitude,DLongitude,DLatitude,Precip td,Precip -1d,Precip -2d,Precip -3d,Precip -4d,Water Content,Plasticity Index,Compression Coefficient,Internal Friction Angle,Cohesion,Slope Height,Slope Width,Slope Length,Slope,Aspect,Lithology,地质小类
0,112.03,24.63,111.982135,24.643949,31.8,0.1,0,1,1.5,25.58394814,0.832314193,1.19914186,19.47610855,29.46181679,17.67200661,23.97278976,27.94444275,56.56642914,150.8253326,Igneous,火山岩类
0,112.03,24.63,112.009515,24.589211,31.9,0.1,0,1,1.5,25.58406639,0.833365917,1.200894237,19.48283386,29.44596672,16.50416183,21.67967224,28.78350067,55.22044754,152.6365814,Igneous,火山岩类
0,112.03,24.25,112.030617,24.293822,4.4,0,0,2.8,0,25.5667305,0.841286182,1.214749098,19.50112724,29.40422821,18.01529312,27.03220749,40.1969986,59.89679337,180.7408142,Igneous,花岗岩类
0,112.11,24.59,112.043469,24.621109,16.9,0.7,12.1,3.1,0.5,25.590168,0.831972778,1.198344588,19.48552513,29.43941307,15.84189796,25.7055912,27.38064384,60.32188034,151.8751221,Igneous,花岗岩类
0,112.08,24.77,112.062847,24.744606,0.3,0,0,2.4,26,25.59829521,0.828534782,1.192308545,19.47944832,29.45363426,17.51081276,27.92259789,30.56759453,61.14453888,145.074295,Igneous,花岗岩类
0,112.13,24.28,112.066021,24.284592,0.6,10,0.4,26.8,20.3,25.56999016,0.841083825,1.21429348,19.50592995,29.39294052,17.68002701,25.30521393,39.56639481,60.33085632,177.6084442,Igneous,花岗岩类
0,112.09,24.41,112.078946,24.48135,40.8,0.6,1.1,9.5,2.1,25.5860939,0.835151374,1.203791022,19.49829865,29.40951729,11.77688503,22.31609154,23.39168358,37.06716156,272.4031372,Sedimentary,砂岩及砾岩类
0,112.15,24.7,112.092065,24.73146,0,13.1,27.2,26,0,25.60217667,0.828285635,1.191746235,19.48519707,29.43975258,17.99448013,27.29357338,30.9250164,60.99452209,135.4328766,Igneous,花岗岩类
0,112.09,24.41,112.09493,24.449726,40.8,0.6,1.1,9.5,2.1,25.58599663,0.835830748,1.204927444,19.50247765,29.39972687,15.86271763,31.09827805,30.45266533,49.55745316,227.3778076,Sedimentary,砂岩及砾岩类
0,112.17,24.65,112.102836,24.658778,0.7,18.9,11.5,0.2,0.5,25.60022163,0.82978332,1.194317698,19.49069405,29.42668915,13.4555521,24.0463047,20.99886322,64.41469574,147.6274414,Igneous,花岗岩类
